id,akteursbezeichnung,follower,marktwert,alter,berater,nationalitaet,type,ausstatter
McDonalds,McDonalds,n.a.,n.a.,n.a.,n.a.,n.a.,2,1
Mein_Klub_Meine_Hilfe,Mein Klub Meine Hilfe,n.a.,n.a.,n.a.,n.a.,n.a.,3,1
Mercedes_AMG,Mercedes AMG,n.a.,n.a.,n.a.,n.a.,n.a.,2,1
MobileWorld24,MobileWorld24,n.a.,n.a.,n.a.,n.a.,n.a.,2,1
My_Topps,My Topps,n.a.,n.a.,n.a.,n.a.,n.a.,2,1
Nike,Nike,n.a.,n.a.,n.a.,n.a.,n.a.,2,2
Nujeens_Dream,Nujeen's Dream,n.a.,n.a.,n.a.,n.a.,n.a.,3,1
Opel,Opel,n.a.,n.a.,n.a.,n.a.,n.a.,2,1
Pepsi,Pepsi,n.a.,n.a.,n.a.,n.a.,n.a.,2,1
PlayStation,PlayStation,n.a.,n.a.,n.a.,n.a.,n.a.,2,1
Porsche_Jugendfoerderung,Porsche Jugendf̦rderung,n.a.,n.a.,n.a.,n.a.,n.a.,3,1
Puma,Puma,n.a.,n.a.,n.a.,n.a.,n.a.,2,2
Rewe,Rewe,n.a.,n.a.,n.a.,n.a.,n.a.,2,1
Rtl_Wir_Helfen_Kindern,RTL Wir Helfen Kindern,n.a.,n.a.,n.a.,n.a.,n.a.,3,1
Sami_Khedira_Stiftung,Sami Khedira Stiftung,n.a.,n.a.,n.a.,n.a.,n.a.,3,1
Show_Racism_the_Red_Card,Show Racism the Red Card,n.a.,n.a.,n.a.,n.a.,n.a.,3,1
Sky_Charity,Sky Charity,n.a.,n.a.,n.a.,n.a.,n.a.,3,1
Sony_Alpha,Sony Alpha,n.a.,n.a.,n.a.,n.a.,n.a.,2,1
SportsTotal,SportsTotal,n.a.,n.a.,n.a.,n.a.,n.a.,2,1
Tag_Heuer,Tag Heuer,n.a.,n.a.,n.a.,n.a.,n.a.,2,1
Telekom,Telekom,n.a.,n.a.,n.a.,n.a.,n.a.,2,1
The_Oezil_Charitable_Foundation,The Oezil Charitable Foundation,n.a.,n.a.,n.a.,n.a.,n.a.,3,1
Tiwi_Ndogo_e.V.,Tiwi Ndogo e.V.,n.a.,n.a.,n.a.,n.a.,n.a.,3,1
Toni_Kroos_Stiftung,Toni Kroos Stiftung,n.a.,n.a.,n.a.,n.a.,n.a.,3,1
Trostpflaster_Aktion,Trostpflaster Aktion,n.a.,n.a.,n.a.,n.a.,n.a.,3,1
Unicef,Unicef,n.a.,n.a.,n.a.,n.a.,n.a.,3,1
United_Charity,United Charity,n.a.,n.a.,n.a.,n.a.,n.a.,3,1
Verlagsgruppe_Oetinger,Verlagsgruppe Oetinger,n.a.,n.a.,n.a.,n.a.,n.a.,2,1
Vodafone,Vodafone,n.a.,n.a.,n.a.,n.a.,n.a.,2,1
Weber,Weber,n.a.,n.a.,n.a.,n.a.,n.a.,2,1
Young_Wings,Young Wings,n.a.,n.a.,n.a.,n.a.,n.a.,3,1
