id,Akteursbezeichnung,Instagram-Follower,Marktwert,Alter,Berater,Spielzeit bei WM,Type,national/international
MobileWorld24,MobileWorld24,,,,,,2,
My_Topps,My Topps,,,,,,2,
Nike,Nike,,,,,,2,
Nujeens_Dream,Nujeen's Dream,,,,,,3,
Opel,Opel,,,,,,2,
Pepsi,Pepsi,,,,,,2,
PlayStation,PlayStation,,,,,,2,
Porsche_Jugendfoerderung,Porsche Jugendf̦rderung,,,,,,2,
Puma,Puma,,,,,,2,
Rewe,Rewe,,,,,,2,
Rtl_Wir_Helfen_Kindern,RTL Wir Helfen Kindern,,,,,,3,
Sami-Khedira-Stiftung,Sami Khedira Stiftung,,,,,,3,
Show_Racism_the_Red_Card,Show Racism the Red Card,,,,,,3,
Sky_Charity,Sky Charity,,,,,,3,
Sony_Alpha,Sony Alpha,,,,,,2,
SportsTotal,SportsTotal,,,,,,2,
Tag_Heuer,Tag Heuer,,,,,,2,
Telekom,Telekom,,,,,,2,
The_Oezil_Charitable_Foundation,The Oezil Charitable Foundation,,,,,,3,
Tiwi_Ndogo_e.V.,Tiwi Ndogo e.V.,,,,,,3,
Toni-Kroos-Stiftung,Toni Kroos Stiftung,,,,,,3,
Trostpflaster_Aktion,Trostpflaster Aktion,,,,,,3,
Unicef,Unicef,,,,,,3,
United_Charity,United Charity,,,,,,3,
Verlagsgruppe_Oetinger,Verlagsgruppe Oetinger,,,,,,2,
Vodafone,Vodafone,,,,,,2,
Weber,Weber,,,,,,3,
Young_Wings,Young Wings,,,,,,,
